game_nr,message,targets,fixed indices,context condition,distractors,accuracy
7,"[12, 2, 2]",[5. 5. 4.],[1. 1. 1.],2,[5. 7. 4.],0.9828125238418579
8325,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],1,[2. 0. 4.],0.9625000357627869
8561,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],2,[5. 6. 0.],0.9921875
8652,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],0,[2. 1. 1.],0.96875
8807,"[12, 2, 2]",[5. 5. 4.],[1. 1. 1.],2,[1. 5. 4.],0.9656250476837158
8908,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],1,[1. 7. 4.],0.987500011920929
9146,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],1,[5. 5. 3.],0.9624999761581421
9533,"[12, 2, 2]",[5. 5. 4.],[1. 1. 1.],1,[5. 4. 0.],0.9609375
9709,"[12, 2, 2]",[5. 5. 4.],[1. 1. 1.],0,[0. 0. 6.],0.953125
10093,"[12, 2, 2]",[5. 1. 4.],[1. 1. 1.],1,[5. 2. 0.],0.9703125357627869
10763,"[12, 2, 2]",[5. 5. 4.],[1. 1. 1.],2,[5. 3. 4.],0.9593750238418579
10916,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],2,[1. 6. 4.],0.9656250476837158
7851,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],1,[7. 1. 4.],0.9671875238418579
10957,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],2,[1. 6. 4.],0.949999988079071
11329,"[12, 2, 2]",[5. 5. 4.],[1. 0. 1.],0,[2. 2. 1.],0.953125
11419,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],1,[5. 2. 0.],0.979687511920929
11479,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],0,[3. 4. 7.],0.979687511920929
11752,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],0,[1. 2. 1.],0.9812500476837158
12024,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],0,[0. 4. 5.],0.979687511920929
12390,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],2,[4. 6. 4.],0.984375
12746,"[12, 2, 2]",[5. 5. 4.],[1. 1. 1.],0,[3. 4. 2.],0.953125
13132,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],2,[5. 3. 4.],0.9781249761581421
13264,"[12, 2, 2]",[5. 1. 4.],[1. 1. 1.],2,[2. 1. 4.],0.9750000238418579
13268,"[12, 2, 2]",[5. 1. 4.],[1. 1. 1.],1,[7. 3. 4.],0.9750000238418579
13555,"[12, 2, 2]",[5. 5. 4.],[1. 1. 1.],2,[0. 5. 4.],0.9859374761581421
11244,"[12, 2, 2]",[5. 1. 4.],[1. 1. 1.],2,[5. 3. 4.],0.9859374761581421
7724,"[12, 2, 2]",[5. 1. 4.],[1. 1. 1.],2,[7. 1. 4.],0.9734375476837158
7447,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],0,[3. 5. 7.],0.9890625476837158
7163,"[12, 2, 2]",[5. 6. 4.],[1. 1. 1.],1,[4. 6. 1.],0.979687511920929
39,"[12, 2, 2]",[5. 1. 4.],[1. 1. 1.],2,[4. 1. 4.],0.9828125238418579
